id,title,year,imdb_id,tmdb_id,tmdb_type,type,popularity_percentile
3213685,Ride or Die,2026,tt30494226,241882,tv,tv_series,98.694
3193975,The Mighty Nein,2025,tt26453092,219080,tv,tv_series,97.166
3200693,The Bondsman,2025,tt28256288,229711,tv,tv_series,96.078
3229346,Bait,2026,tt32252887,257519,tv,tv_series,96.079
1688507,Nimona,2023,tt19500164,961323,movie,movie,99.276
143379,Barbie,2023,tt1517268,346698,movie,movie,99.955
3190574,Lockwood & Co.,2023,tt13802576,213241,tv,tv_series,92.631
3171191,ONE PIECE,2023,tt11737520,111110,tv,tv_series,98.87
3168697,The Midnight Gospel,2020,tt11639414,96713,tv,tv_series,93.847
3184495,Dead Boy Detectives,2024,tt15358446,132750,tv,tv_series,92.631
1451299,The Flash,2023,tt0439572,298618,movie,movie,99.959
1662726,Mortal Kombat II,2026,tt17490712,931285,movie,movie,99.989
1608538,The Creator,2023,tt11858890,670292,movie,movie,99.876
1514676,Wolfwalkers,2020,tt5198068,441130,movie,movie,99.728
3212158,Dan Da Dan,2024,tt30217403,240411,tv,tv_series,99.069
3185624,Monarch: Legacy of Monsters,2023,tt17220216,202411,tv,tv_series,98.548
3172165,Dota: Dragon's Blood,2021,tt14069590,118956,tv,tv_series,96.897
1589918,Spider-Man: No Way Home,2021,tt10872600,634649,movie,movie,99.997
1496273,Dune: Part One,2021,tt1160419,438631,movie,movie,99.987
3182718,Wednesday,2022,tt13443470,119051,tv,tv_series,99.811
3178198,Arcane,2021,tt11126994,94605,tv,tv_series,99.727
3170425,JUJUTSU KAISEN,2020,tt12343534,95479,tv,tv_series,99.88
3157435,The Lord of the Rings: The Rings of Power,2022,tt7631058,84773,tv,tv_series,99.888
3166158,Lupin,2021,tt2531336,96677,tv,tv_series,99.226
3162432,The Wheel of Time,2021,tt7462410,71914,tv,tv_series,99.436
1703330,Superman,2025,tt5950044,1061474,movie,movie,99.984
1496510,The Suicide Squad,2021,tt6334354,436969,movie,movie,99.952
157269,No Time to Die,2021,tt2382320,370172,movie,movie,99.946
3168647,Outer Banks,2020,tt10293938,100757,tv,tv_series,99.929
